Soil Potassium:;Soil el. conductivity NPK:;Soil temp. NPK:
0.00558325;0.115152597;0.273830538
0.006314457;0.12395671;0.311120918
0.006425125;0.125541126;0.331862312
0.00671326;0.13225;0.352272727
0.006380857;0.129003247;0.346315093
0.00664676;0.131454545;0.386032657
0.006779661;0.135282468;0.407546337
0.00671326;0.130593074;0.425419241
0.006048554;0.120516883;0.376699029
0.00558325;0.113636364;0.352603707
0.004785643;0.096967532;0.289717564
0.004386839;0.088090909;0.250661959
0.004360279;0.085935065;0.244924978
0.004054437;0.084935065;0.239187996
0.003988036;0.083441558;0.231597529
0.003988036;0.081992208;0.221535746
0.003988036;0.079980519;0.214585172
;0.081928571;
0.004342572;0.086867965;0.267872904
0.004626122;0.093181818;0.325132392
0.004785643;0.097112554;0.348367167
0.004985045;0.098918831;0.371579876
0.004785643;0.096393939;0.356575463
0.005095912;0.100174026;0.430714916
0.004785643;0.098487013;0.438658429
0.004386839;0.088308442;0.394969109
0.003988036;0.078935065;0.348631951
0.003589232;0.074748918;0.318402471
0.003190429;0.067965368;0.266284201
0.003190429;0.065220779;0.252316858
0.003190429;0.064285714;0.242718447
0.003157228;0.062337662;0.229148279
0.002871306;0.061038961;0.216019417
0.002813759;0.060320346;0.210944395
0.003123928;0.062555195;0.23451015
0.003190429;0.066019481;0.288062665
0.003589232;0.073594156;0.374580759
0.002968827;0.062876623;0.396954987
0.002392822;0.051840909;0.32744925
0.002392822;0.049350649;0.303883495
0.002392822;0.047909091;0.283759929
0.002348554;0.047181818;0.276478376
0.002313061;0.046321429;0.26972639
0.002127019;0.045744589;0.262047661
0.001994018;0.045454545;0.252647838
0.001994018;0.045454545;0.248014122
0.001994018;0.044731602;0.243512798
0.001994018;0.044445887;0.23874669
0.002047218;0.04512987;0.256398941
0.002392822;0.047792208;0.295344219
0.002392822;0.048701299;0.328442189
0.002392822;0.049207792;0.321491615
0.002392822;0.049675325;0.333627538
0.002392822;0.048808442;0.341350397
0.002392822;0.050866883;0.391990291
0.002392822;0.049892857;0.420917917
0.001994018;0.045888312;0.385701677
0.001994018;0.042942857;0.351279788
0.001994018;0.040477273;0.324271845
0.001595214;0.036220779;0.240070609
0.001595214;0.035714286;0.229037952
0.001595214;0.034636364;0.213150927
0.001595214;0.034415584;0.208296558
0.001595214;0.035064935;0.203662842
0.001595214;0.035354978;0.200353045
0.001595214;0.036363636;0.218887908
0.001816816;0.037805195;0.246425419
0.001994018;0.040085714;0.29368932
0.001994018;0.040982684;0.312224184
0.001994018;0.043363636;0.353927626
0.001994018;0.042942857;0.395631068
0.001994018;0.041732468;0.418799647
0.001595214;0.035324675;0.34929391
0.001595214;0.033766234;0.3380406
0.001595214;0.033116883;0.30847308
0.001595214;0.031168831;0.285966461
0.001196411;0.02987013;0.264232127
